Start_URL,Domain,Depth,Referrer_URL,Current_URL,Emails,Phones,Uncertain_Phones,Twitter,YouTube,Facebook,LinkedIn,Instagram,Tiktok,Failed
https://ad-sas.com/,ad-sas.com,0,https://ad-sas.com/,https://ad-sas.com/,D%20S.A.S%20aetd.sas@gmail.com,,100000;100;0.15;0.03;0.015;0.06;0.05;0.025;33.32;125;150;0.25;255;0.14;0.75;0.65;0.33;1.08;444;0.85;200;000;120;0.45;(0.250;0.460;0.450;0.940;1.15,,,,https://www.linkedin.com/company/94169461/admin/,https://www.instagram.com/aetd.sas/,,
https://plombier-lyon4.fr/,plombier-lyon4.fr,0,https://plombier-lyon4.fr/,https://plombier-lyon4.fr/,,,4.27.1;100;666;500;700;0 0 1;333;555;100001;400;999;79.125;139;219;247059;999999;196;169;600;464646;1.01;2.75;73.625;3.735;64.833;4.242;57.8;4.758;47.25;5.82;36.7;7.493;29.6667;9.27;20.875;13.174;15.6;17.628;12.0833;22.759;28.353;7.47;66.667;33.3333;16.6667;33.333;1000;0.77;0.175;99999;800;0.03;33.33;2015;9999;4.2415;2.855;29.666,,,,,,,
https://confiancetravaux.fr/,confiancetravaux.fr,0,https://confiancetravaux.fr/,https://confiancetravaux.fr/,contact69@expert-renov.fr;contact@confiancetravaux.fr,,0683774994,,https://www.youtube.com/embed/7W7CXtgCO-E?feature=oembed?playlist=7W7CXtgCO-E&mute=0&autoplay=0&loop=no&controls=0&start=0&end=,,,,,
https://dsrrenovation.fr/,dsrrenovation.fr,0,https://dsrrenovation.fr/,https://dsrrenovation.fr/,mathieus19@hotmail.fr,,333333;33649570846,,,,,,,
https://www.lei-reseaux.fr/,www.lei-reseaux.fr,0,https://www.lei-reseaux.fr/,https://www.lei-reseaux.fr/,contact@lei-reseaux.fr,+33 6 60 06 41 88,33660064188,,,,https://www.linkedin.com/company/lei-r%C3%A9seaux/?originalSubdomain=fr,https://www.instagram.com/lei_reseaux/,,
https://www.groupe-legendre.com/,www.groupe-legendre.com,0,https://www.groupe-legendre.com/,https://www.groupe-legendre.com/,,52-5000-5000,,,,https://www.facebook.com/GroupeLegendre/,https://www.linkedin.com/company/groupe-legendre/,,,
https://www.eiffageroute.com/,www.eiffageroute.com,0,https://www.eiffageroute.com/,https://www.eiffageroute.com/,,,2500,,https://www.youtube.com/watch?v=-4ANyNPLrgo&list=PLK4ZS9ji6MZdyhanjCDsUUFELbQ0snKSp,https://www.facebook.com/EiffageRoute/,https://www.linkedin.com/company/eiffageroute/,,,
http://mbrenovationlyon.com/,mbrenovationlyon.com,0,http://mbrenovationlyon.com/,http://mbrenovationlyon.com/,contact@mbrenovationlyon.com,,4.27.4;100;666;500;700;0 0 1;333;555;100001;400;999;79.125;139;219;247059;999999;196;169;600;464646;1.01;2.75;73.625;3.735;64.833;4.242;57.8;4.758;47.25;5.82;36.7;7.493;29.6667;9.27;20.875;13.174;15.6;17.628;12.0833;22.759;28.353;7.47;29.667;18.539;46.265;14.941;45.758;8.483;16.967;45.242;9.516;44.18;11.64;14.986;26.347;35.256;45.517;66.667;33.3333;16.6667;33.333;77.25;22.75;74.25;2.02;65.667;2.284;58.8;2.551;48.5;3.093;38.2;3.927;31.3333;4.787;6.593;17.6;8.523;14.1667;10.588;30.64;4.04;31.333;9.574;47.98;8.081;47.716;4.569;9.137;47.449;5.102;46.907;6.186;7.853;13.187;17.045;21.176;215;355;1.03;1000;0.77;0.175;99999;800;0.03;33.33;2015;9999;4.2415;2.855;29.666;175,,,,,,,
http://www.batirenove.fr/,www.batirenove.fr,0,http://www.batirenove.fr/,http://www.batirenove.fr/,contact@batirenove.fr,744-1961-4757,33484885083,,,https://www.facebook.com/Bati-Renove-348521546217680,https://www.linkedin.com/company/batirenovelyon/?viewAsMember=true,https://www.instagram.com/infos.batirenove/,,
https://www.ledainconceptrenovation.fr/,www.ledainconceptrenovation.fr,0,https://www.ledainconceptrenovation.fr/,https://www.ledainconceptrenovation.fr/,contact@ledainconceptrenovation.fr,,,,,https://www.facebook.com/Le-Dain-Concept-R%C3%A9novation-106408080973000/,,https://www.instagram.com/ledainconceptrenovation/,,
