Nom Entreprise,Activité,Dirigeant,Email,Téléphone,Téléphone Secondaire,Site Web,Adresse,Code Postal,Ville,SIRET,Date Création,Lien Pappers
L'Equipage coworking,coworking villeurbanne,ROSA ARANDA (Directeur Général) | PAUL ANDRE MAURICE GARCIN (Président de SAS),lequipage.planning@gmail.com,06 29 65 81 41,,https://lequipagecoworking.com/,,,REDACTED FOR PRIVACY,83398195400013,2018-12-11,https://www.pappers.fr/entreprise/833981954
Flex-O Lyon Part Dieu,coworking villeurbanne,NICOLAS DOMINGO MATHIAS PUZIN (Directeur Général),facc74mwbe4cna7mtubh@c.o-w-o.info,+33 684522771,04 81 91 11 11,https://www.flex-o.fr/lyon/lyon-part-dieu/?utm_source=google&utm_medium=GMB&utm_campaign=Lyon_Part_Dieu,,,"Valbonne - Sophia Antipolis, Valbonne - Sophia Antipolis, Roubaix",84462273800269,2020-05-10,https://www.pappers.fr/entreprise/844622738
Flex-O Lyon Tête d'Or,coworking villeurbanne,,facc74mwbe4cna7mtubh@c.o-w-o.info,+33 684522771,04 81 91 27 55,https://www.flex-o.fr/france/lyon/lyon-tete-d-or/?utm_source=google&utm_medium=GMB&utm_campaign=Lyon_Tete_d_or,,,"Valbonne - Sophia Antipolis, Valbonne - Sophia Antipolis, Roubaix",41094394800092,2020-05-10,https://www.pappers.fr/entreprise/410943948
Amabla,coworking villeurbanne,,contact@amabla.org,,,http://www.amabla.org/,,,REDACTED FOR PRIVACY,82431886900016,2014-10-07,https://www.pappers.fr/entreprise/824318869
Bel Air School - Groupe Bel Air Camp,coworking villeurbanne,,abuse@ovh.net,09 72 60 57 02,,https://www.belaircamp.org/,,,,,2016-03-09,
La Cordée République - coworking Villeurbanne,coworking villeurbanne,,3a68553133d7db53b0d2aaa924ac8c29-1658507@contact.gandi.net,,,https://www.la-cordee.net/cordee/villeurbanne/republique-villeurbanne/,,,REDACTED FOR PRIVACY,,2011-06-29,
Wojo Coworking Lyon - Ibis Styles Villeurbanne Parc De La Tête d'Or,coworking villeurbanne,,1b23bed2ddb2127f7f8a8d3bc528f4c1-31510938@contact.gandi.net,01 73 06 43 66,,https://www.wojo.com/fr-FR/espaces-de-travail/wojo-lyon-ibis-styles-villeurbanne-parc-de-la-tete-d-or,,,REDACTED FOR PRIVACY,,1995-10-20,
Incubateur Manufactory La Doua,coworking villeurbanne,,support-dns@renater.fr,+33 478787431,,http://entreprendre.univ-lyon3.fr/2020/07/07/lincubateur-manufactory-la-doua-ouvre-ses-portes-les-candidatures-sont-ouvertes/,,,"Lyon, Lyon, Paris, Lyon",,1994-12-31,
Espace Racine,coworking villeurbanne,DAN BENDAVID (Président de SAS),contact@espace-racine.fr,+33 767364728,06 98 07 18 04,https://www.espace-racine.fr/,,,"VILLEURBANNE, VILLEURBANNE, Roubaix",97858392000019,2023-07-28,https://www.pappers.fr/entreprise/978583920
B2Expand,coworking villeurbanne,ERIC BURGEL (Président de SAS),abuse@ovh.net,06 06 06 06 06,,http://b2expand.com/,,,REDACTED FOR PRIVACY,82504075100018,2017-02-21,https://www.pappers.fr/entreprise/825040751
Imagin'Office Lyon,coworking villeurbanne,,contact@imaginoffice.com,+33.1.41.57.70.42,,https://www.imaginoffice.com/espaces/imagin-lyon,,,,,2019-05-28,
Work and Progress,coworking villeurbanne,JULIE ANTOINELLE CONCETTINE IACONELLI (Président de SAS),contact@work-and-progress.fr,+33 621710262,+33 4 78 03 95 96,https://work-and-progress.fr/,,,"Villeurbanne, Villeurbanne, Sarreguemines",92227505200012,2022-05-25,https://www.pappers.fr/entreprise/922275052
"Regus - Villeurbanne, Carré de Soie",coworking villeurbanne,SOFIANE BOUGHOUAOU (BOUGHOUAOU) (Président de SAS),domainabuse@cscglobal.com,+33 1 73 17 79 29,,https://www.regus.com/fr-fr/france/villeurbanne/1-esplanade-myriam-makeba-5459?utm_source=google_uberall&utm_medium=places&utm_campaign=uberall&utm_content=uberall,,,,91118320000011,1996-03-29,https://www.pappers.fr/entreprise/911183200
SCOPA Studio,coworking villeurbanne,GAETAN FABRICE BRUNO CONSTANT (Gérant et associé indéfiniment responsable) | ALISON JUSTINE JOHANNA PATOU (Gérant et associé indéfiniment responsable),,06 98 21 09 27,,https://gaetanconstant.github.io/scopa-studio/,,,,94295414000011,2013-03-08,https://www.pappers.fr/entreprise/942954140
Chez WAAT,coworking villeurbanne,,chezwaat@gmail.com,,,https://chezwaat.wixsite.com/chezwaat,,,Tempe,,2012-05-08,
La Cordée République - coworking Villeurbanne,coworking villeurbanne,,3a68553133d7db53b0d2aaa924ac8c29-1658507@contact.gandi.net,,,https://www.la-cordee.net/cordee/villeurbanne/republique-villeurbanne/,,,REDACTED FOR PRIVACY,,2011-06-29,
Flex-O Lyon Tête d'Or,coworking villeurbanne,,facc74mwbe4cna7mtubh@c.o-w-o.info,+33 684522771,04 81 91 27 55,https://www.flex-o.fr/france/lyon/lyon-tete-d-or/?utm_source=google&utm_medium=GMB&utm_campaign=Lyon_Tete_d_or,,,"Valbonne - Sophia Antipolis, Valbonne - Sophia Antipolis, Roubaix",41094394800092,2020-05-10,https://www.pappers.fr/entreprise/410943948
katalyse-coworking,coworking villeurbanne,JEAN-PHILIPPE LIONEL HENRI ARBEY (Gérant),g4cv9cknw75vo0uj60w1@h.o-w-o.info,+33 619960243,04 28 29 33 99,https://katalyse-coworking.fr/,,,"Lyon, Lyon, Roubaix",83481336200029,2018-01-10,https://www.pappers.fr/entreprise/834813362
Incubateur Beelys - La Doua,coworking villeurbanne,,,04 78 92 74 64,,,,,,,,
Bel Air Business - Groupe Bel Air Camp,coworking villeurbanne,,abuse@ovh.net,09 72 60 57 02,,http://www.belaircamp.org/,,,,,2016-03-09,
